提升机-输送线通讯规约,,,,,,,,,,,,,,
SEMA,,项目,SH-JT,,版本,V1.0.0,,,,日期,20200613,,,
数据类型,基址,偏移地址,数据长度,十进制,序号,名称,参数或返回值,模式,默认值,控制方式,备注,,,
提升机+输送线,,,,,,,,,,,,,,
INT,DB100,0,2,0,0,WCS控制功能开启,0:不开启 1:开启 ,,0,MODBUS写,,,,
INT,DB100,2,2,1,1,充电开启,"0：无操作
1：一号位充电  10：一号位停止充电
2：二号位充电  20：二号位停止充电
3：三号位充电  30：三号位停止充电
4：四号位充电  40：四号位停止充电",,0,MODBUS写,待实现,,,
INT,DB100,4,2,2,2,报警消音,0：无操作 1：消音 ,,0,MODBUS写,,,,
INT,DB100,6,2,3,3,WCS控制模式,1：单步   2：自动,单步,0,MODBUS写,,,,
INT,DB100,8,2,4,4,提升机动作开始,0：默认   1：执行,单步,0,MODBUS写,,,,
INT,DB100,10,2,5,5,提升机到达目标层,1：1F  2:2F  3:3F  4:4F,单步,1,MODBUS写,,,,
INT,DB100,12,2,6,6,AGV放货状态,"0：无操作 
1：左非提  2：左提  3：右提   4：右非提",,0,MODBUS写,"1.新数据写入后，5s内不得发新数据
2.待实现",,,
INT,DB100,14,2,7,7,任务一业务类型,"01:货物入库
03 货物出库至AGV通道
05:货物换层",,0,MODBUS写,,,,
INT,DB100,16,4,8,8,任务一托盘码,xxxx,,0,MODBUS写,,,,
INT,DB100,20,2,10,9,任务一目标层,1:1F  2:2F  3:3F  4:4F,,1,MODBUS写,,,,
INT,DB100,22,2,11,10,任务一目标端口,0：提升机侧 1：非提升机侧 ,,0,MODBUS写,选填项,,,
INT,DB100,24,2,12,11,任务一来源层,1：1F  2:2F  3:3F  4:4F,,1,MODBUS写,,,,
INT,DB100,26,2,13,12,任务一来源端口,0：提升机侧 1：非提升机侧 ,,0,MODBUS写,选填项,,,
INT,DB100,28,2,14,13,任务一reserved1,,,0,MODBUS写,预留项,,,
INT,DB100,30,2,15,14,任务一reserved2,,,0,MODBUS写,预留项,,,
INT,DB100,32,2,16,15,任务二业务类型,"01:货物入库
03 货物出库至AGV通道
05:货物换层",,0,MODBUS写,,,,
INT,DB100,34,4,17,16,任务二托盘码,xxxx,,0,MODBUS写,,,,
INT,DB100,38,2,19,17,任务二目标层,1:1F  2:2F  3:3F  4:4F,,1,MODBUS写,,,,
INT,DB100,40,2,20,18,任务二目标端口,0：提升机侧 1：非提升机侧 ,,0,MODBUS写,选填项,,,
INT,DB100,42,2,21,19,任务二来源层,1：1F  2:2F  3:3F  4:4F,,1,MODBUS写,,,,
INT,DB100,44,2,22,20,任务二来源端口,0：提升机侧 1：非提升机侧 ,,0,MODBUS写,选填项,,,
INT,DB100,46,2,23,21,任务二reserved1,,,0,MODBUS写,预留项,,,
INT,DB100,48,2,24,22,任务二reserved2,,,0,MODBUS写,预留项,,,
